Contract Address,Collection Name,avg_loss_making_trades,avg_profitable_trades,blockchain,chain_id,collection,collection_score,diamond_hands,fear_and_greed_index,holder_metrics_score,liquidity_score,loss_making_trades,loss_making_trades_percentage,loss_making_volume,market_dominance_score,metadata_score,profitable_trades,profitable_trades_percentage,profitable_volume,token_distribution_score,washtrade_index,zero_profit_trades,mint_count,mint_whales,nft_count,total_mint_volume,total_sale_volume
0xb1469271ff094d7fb2710b0a69a80a01ec5dbf24,Deez Nuts,-155.55698765134,655.45089863314,ethereum,1,0xb1469271ff094d7fb2710b0a69a80a01ec5dbf24,41.321044523871,10887,42.109652375615,6.9292412617221,30.258017383486,638,5.2906542831081,-99245.358121552,2.7294695039712,84.633897797093,638,5.2906542831081,418177.67332795,11.904315899895,63.078165742544,7092,1,1,10000,2047918.5334514952,7507453.468737058
0xe4605d46fd0b3f8329d936a8b258d69276cba264,Meme Ltd.,-95.555152373661,961863955217.96,ethereum,1,0xe4605d46fd0b3f8329d936a8b258d69276cba264,54.674810440626,64,37.177328856315,99.157961783439,72.770791730045,808,11.93324472013,-77208.563117918,20.663244929002,83.892351226642,808,11.93324472013,777186075816110.0,98.764979308118,46.837477374893,698,127,15,527,1714496.902828364,7439586.431565002
0x3c76001c4d31c7f25a10235dda4ecddfe5e719f4,Art Wars,-145.01304648131,122.77872808515,ethereum,1,0x3c76001c4d31c7f25a10235dda4ecddfe5e719f4,42.121896351596,90,40.892857291986,80.00884173298,47.453690303907,46,4.4019138755981,-6670.6001381401,0.97756874095514,60.846599131693,46,4.4019138755981,5647.821491917,78.480463096961,38.623733719247,798,0,0,1138,2696881.6142230495,7327475.325855313
0x589b89164ce781475df59db280b42b13a640100d,GFT Atari 50th Anniversary,-688.6789107216,64397.083764571,ethereum,1,0x589b89164ce781475df59db280b42b13a640100d,41.884386212191,3370,28.354149402424,50.354406130268,29.986899109278,387,2.4476630194169,-266518.73844926,0.99993068311787,83.474092815305,387,2.4476630194169,24921671.416889,50.829723079056,55.395993484213,9152,12,1,10000,2636538.99875352,7791869.47473199
0xf3ae416615a4b7c0920ca32c2dfebf73d9d61514,ChiptoPunks,-71.199404656414,1804.9230069943,ethereum,1,0xf3ae416615a4b7c0920ca32c2dfebf73d9d61514,42.265349818119,308,41.539826512351,71.092715231788,57.817154998882,207,17.093311312964,-14738.276763878,0.99329009170208,62.697383135764,207,17.093311312964,373619.06244782,71.334153433236,32.815030194587,698,0,0,512,222653.14183024314,7256393.395271934
0x9940bb667f64fca06fc4127861855696def7c69d,Elysium Code,-313.58417352101,81.567557223783,ethereum,1,0x9940bb667f64fca06fc4127861855696def7c69d,31.621343376274,1358,43.943377748822,1.0,27.985837922895,325,3.8805970149254,-101914.85639433,0.99763965381589,0.0,325,3.8805970149254,26509.45609773,0.99527930763179,90.704956726987,4246,0,0,5840,2155315.5799505594,7551646.731077661
0xf1536ab2dd1fc1da5d77fec3ce29537f6ef0634b,C86 Cyborg,-407.72999542602,4402.2575134848,ethereum,1,0xf1536ab2dd1fc1da5d77fec3ce29537f6ef0634b,42.828180006969,3078,33.712086118059,51.387066541706,27.822672971628,365,3.5724772438093,-148821.4483305,0.99987555998009,77.638128422101,365,3.5724772438093,1606823.9924219,53.448232951717,61.099352911897,6207,0,0,8600,4179164.4497031663,7249811.502724537
0x9ee36cd3e78badcaf0cbed71c824bd8c5cb65a8c,Elderly Ape Retirement Club,-288.24497027881,1305.5511005648,ethereum,1,0x9ee36cd3e78badcaf0cbed71c824bd8c5cb65a8c,46.520602898733,1908,35.012170388896,53.011049723757,29.570236535411,382,4.3256709319443,-110109.5786465,1.2790842010896,80.473070822702,382,4.3256709319443,498720.52041575,56.489207640852,70.665947176057,4177,0,0,5000,1026039.1560445973,7224784.755798194
0xea6504ba9ec2352133e6a194bb35ad4b1a3b68e7,FusionApe,-229.94749372307,341.23896365331,ethereum,1,0xea6504ba9ec2352133e6a194bb35ad4b1a3b68e7,43.044828659527,1469,32.854415726144,42.389306599833,32.291154303848,309,5.4516584333098,-71053.775560429,2.0280047600159,76.957715192384,309,5.4516584333098,105442.83976887,46.197540658469,65.999714399048,3165,107,3,4201,1628393.3727612402,7166638.391236407
0x4222b2a98daa443c6a0a761300d7d6bfd9161e52,Illuvium IDO Collection,-60.631245717054,1010401517294.0,ethereum,1,0x4222b2a98daa443c6a0a761300d7d6bfd9161e52,45.740758677308,26,39.643043797821,99.710896960712,89.270527323575,761,15.524275805794,-46140.377990678,7.8011639918369,0.19311682749238,761,15.524275805794,768915554660760.0,99.182434305006,51.306667758434,448,17,3,21,0,7214608.829554606
0x7a3b97a7400e44dadd929431a3640e4fc47daebd,Apes In Space,-285.90557240034,292.46896748346,ethereum,1,0x7a3b97a7400e44dadd929431a3640e4fc47daebd,47.05622152077,2643,33.317159295203,80.05444646098,24.943227899432,386,4.8352749592885,-110359.55094653,1.8782441200324,76.369829683698,386,4.8352749592885,112893.02144861,80.129764801298,66.23903081914,5090,17,1,9999,11405145.732960798,7164569.847481198
0x809d8f2b12454fc07408d2479cf6dc701ecd5a9f,BBRC OFFICIAL - IVY BOYS,-336.36380448361,3.0922797025259e+17,ethereum,1,0x809d8f2b12454fc07408d2479cf6dc701ecd5a9f,53.74857927457,5415,40.635811146477,54.350580781415,40.653451158347,673,3.6251009964988,-226372.84041747,0.9984873815779,90.01902714752,673,3.6251009964988,2.0811042397999e+20,57.449247671364,78.762837353714,7421,1,1,7777,1974275.9682787051,7920655.210850313
0xc178994cb9b66307cd62db8b411759dd36d9c2ee,COCKPUNCH by Tim Ferriss,-281.69119451228,2.667111620891e+17,ethereum,1,0xc178994cb9b66307cd62db8b411759dd36d9c2ee,48.17804948648,2688,38.199648981566,47.698630136986,32.805259506842,549,6.2436028659161,-154648.46578724,1.3247777007,87.32269660087,549,6.2436028659161,1.4642442798692e+20,50.13306426184,66.873532193984,4326,5,4,5555,1846850.2823522703,8667831.325894788
0x47bd71b482b27ebdb57af6e372cab46c7280bf44,Blockchain Miners Club,-80.600355259988,472.64732488872,ethereum,1,0x47bd71b482b27ebdb57af6e372cab46c7280bf44,29.218679921456,10436,44.575122037433,2.590990990991,19.290442890443,387,4.8098434004474,-31192.337485615,2.9282051282051,0.055944055944056,387,4.8098434004474,182914.51473194,4.8501165501166,81.847435897436,5580,17,2,11111,3274186.5953961564,7157439.089643979
